#
#  gcf_000012905cyc 28.1 Genes link table generated on Tue Jul 23, 2024
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
RSP_0456	Q3J0Q5		
RSP_4332			
RSP_3424	Q3IWQ6		
RSP_3054	Q3IXR4		
RSP_0079	Q3J1T0	flgF	
RSP_1564	Q3J678		
RSP_3593	Q3IW88		
RSP_0689	Q3J019	rdxS	
RSP_1064	Q3IYY6		
RSP_1794	Q3J5J3		
RSP_0052	Q3J1V8	fliE	
RSP_1913	Q3J572		
RSP_2053	Q3J4T1		
RSP_3017	Q3IXV2		
RSP_2484	Q3IV53		
RSP_3627	Q3IW46		
RSP_2701	Q3J2X9		
RSP_0129	Q3J1N0	metN	
RSP_6068	Q3J2S6		
RSP_1627	Q3J612		
RSP_3321	Q3IX10	acrA	
RSP_1162	Q3IYN8		
RSP_1653	Q3J5Y6		
RSP_3762	Q3IVR8		
RSP_2584	Q3J393		
RSP_0304	Q3J156	ureE	
RSP_1678		recO	
RSP_1656	Q3J5Y1		
RSP_2951	Q3J273	purL	
RSP_3560	Q3IWC3		
RSP_0941	Q3IZB1		
RSP_1704	Q3J5T5		
RSP_0285	Q9RFD4	bchN	
RSP_2184	Q3J4E8	betA	
RSP_3268	Q3IX58	tklB	
RSP_2238	Q3J491		
RSP_2904	Q3J2C0	pdxA1	
RSP_0216	Q3J1E8		
RSP_2214	Q3J4B5		
RSP_0990	Q3IZ61		
RSP_2751	Q3J2S8		
RSP_2565	Q3J3B1	ugpG	
RSP_1891	Q3J595		
RSP_7500	U5NRC5		
RSP_4172	Q3IV02		
RSP_0901	Q3IZF1		
RSP_1346	Q3IY57		
RSP_0811	Q3IZP5		
RSP_3133	Q3IXI6		
RSP_2558	Q3J3B8		
RSP_0972	Q3IZ79		
RSP_2973	Q3J250		
RSP_4109	Q3IV56	gmd	
RSP_2505	Q3J3G8	creA	
RSP_2411	Q3J3R2		
RSP_4030	Q3IVJ9	yihT	
RSP_6028	Q3J508		
RSP_2527	Q3J3E6	nuoL	
RSP_2178	Q3J4F4	topA	
RSP_1025	Q3IZ25		
RSP_2422	Q3J3Q1	mgpS	
RSP_0022	Q3J1Z4		
RSP_3378	Q3IWV2		
RSP_0276	Q9Z5D3		
RSP_2400	Q3J3S3		
RSP_2309	Q3J421		
RSP_6204	Q3J2W7		
RSP_0802	Q3IZQ3		
RSP_2606	Q3J371		
RSP_0059	Q3J1V1	fliL	
RSP_0269	Q3J192	tspO	
RSP_0046	Q3J1W4	cheW4	
RSP_2714	Q3J2W5	lpxA	
RSP_0962	Q3IZ89		
RSP_0743	Q3IZW3		
RSP_1392	Q3IY13	thiP	
RSP_1179	Q3IYM1	xylH	
RSP_1883	Q3J5A3		
RSP_1299	Q3IYA5		
RSP_3313	Q3IX15		
RSP_3616	Q3IW58		
RSP_4222	Q3IUW7	traK	
RSP_0017	Q3J1Z9		
RSP_6250	Q3J214		
RSP_2698	Q3J2Y2		
RSP_6005	Q3J6A7		
RSP_0376	Q3J0Y3		
RSP_4210	Q3IUX6		
RSP_0819	Q3IZN7	rhlE2	
RSP_2552	Q3J3C4	exoU	
RSP_2829	Q3J2K2		
RSP_2011	Q3J4X3		
RSP_2736	Q3J2U4	pgi	
RSP_2753	Q3J2S7		
RSP_3098	Q3IXM0	qoxB	
RSP_0556	Q3J0F5	ruvC	
RSP_0202	Q3J1G1		
RSP_0773	Q3IZT4		
RSP_2244	Q3J485		
RSP_3046	Q3IXS2	dorC	
RSP_0016	Q3J200		
RSP_3107	Q3IXL2		
RSP_1087	Q3IYW1		
RSP_0161	Q3J1K0		
RSP_1905	Q3J581		
RSP_1764	Q3J5M3	rplT	
RSP_0352	Q3J107		
RSP_3927	Q3HKH3		
RSP_1293	Q3IYB0		
RSP_3034	Q3IXT5		
RSP_6088	Q3J1X5		
RSP_3344	Q3IWY6		
RSP_3177	Q3IXE2	fabB	
RSP_0710	Q3IZZ8	dnaX	
RSP_4352			
RSP_0387	Q3J0X2		
RSP_2860	Q3J2N4	rpsB	
RSP_0479	Q3J0N3		
RSP_2165	Q3J4G8	putR1	
RSP_2459	Q3J3L5		
RSP_2490	Q3J3I1		
RSP_3946	Q3IVB6		
RSP_4105	Q3IV60		
RSP_2279	Q3J450		
RSP_3155	Q3IXG3		
RSP_3868	Q3HKL9		
RSP_0021	Q3J1Z5	rpsI	
RSP_1291	Q3IYB3		
RSP_1484	Q3J6F9		
RSP_0236	Q3J1C6		
RSP_3846	Q3HKN9		
RSP_6138	Q3IZK3		
RSP_3716	Q3IVV9	selD	
RSP_2607	Q3J370		
RSP_0872	Q3IZH9	def1	
RSP_7575	U5NRK6		
RSP_0858	Q3IZJ4		
RSP_6168	Q3IXB1		
RSP_6257	Q3HKP5		
RSP_2118	Q3J4L2	recN	
RSP_2212	Q3J4B7	rimI	
RSP_3537	Q3IWE6		
RSP_4028	Q3IVJ7		
RSP_1979	Q3J505		
RSP_4053	Q3IVA6	xanB	
RSP_6247	Q3J224		
RSP_0540	Q3J0H2	nifD	
RSP_1861	Q3J5C4		
RSP_0425	Q3J0T3	metG	
RSP_2640	Q3J339		
RSP_1404	Q3IY00		
RSP_2039	Q3J4U4	linC	
RSP_3083	Q3IXN5	mcpH	
RSP_2941	Q3J283		
RSP_1921	Q3J563		
RSP_0159	Q3J1K2	galE-2	
RSP_7668	U5NRR7		
RSP_3048	Q3IXS0	dorA	
RSP_0608	Q3J0A1		
RSP_0943	Q3IZA9	yhxA	
RSP_1394	Q3IY11	fbcC	
RSP_3788	Q3IVQ5		
RSP_2335	Q3J3Z4	wrbA	
RSP_0163	Q3J1J8		
RSP_2846	Q3J2M0		
RSP_0624	Q3J087		
RSP_3484	Q3IWJ7		
RSP_2608	Q3J369	corA	
RSP_3349	Q3IWY2		
RSP_0890	Q3IZG2		
RSP_1833	Q3J5F2		
RSP_2513	Q3J3G0	nuoB	
RSP_0238	Q3J1C4		
RSP_0056	Q3J1V4	fliI	
RSP_1241	Q3IYG2		
RSP_4044	Q3J3I6	pgk	
RSP_0970	D3JV05		
RSP_4129	Q3IV33	omp31-1	
RSP_3657	Q3IW17		
RSP_0748	Q3IZV9		
RSP_2523	Q3J3F0	nuoI	
RSP_3050	Q3IXR8	moaA	
RSP_0230	Q3J1D3		
RSP_0328	Q3J130	nnrS	
RSP_0008	Q3J207		
RSP_2114	Q3J4L5	ftsZ1	
RSP_3707	Q3IVW7		
RSP_3670	Q3IW05		
RSP_3215	Q3IXA3		
RSP_6254	Q3IX02		
RSP_0594	Q3J0B6		
RSP_3824	Q3IXX7	proA	
RSP_0784	Q3IZS3		
RSP_1967	Q3J520		
RSP_1600	Q3J638		
RSP_3630	Q3IW42		
RSP_0775	Q3IZT2		
RSP_0599	Q3J0B1		
RSP_0714	Q3IZZ4		
RSP_0103	Q3J1Q6	nuoE1	
RSP_3749	Q3IVS9	ampC	
RSP_3403	Q3IWS7		
RSP_1645	Q3J5Z4		
RSP_2291	Q3J438		
RSP_1807	Q3J5I0		
RSP_6188	Q3IW67		
RSP_0325	Q3J133		
RSP_2101	Q3J4M8	mraY	
RSP_7605	U5NRM8		
RSP_1459	Q3J6I3		
RSP_2985	Q3J238		
RSP_3752	Q3IVS6		
RSP_4035	Q3IVK4		
RSP_2284	Q3J445		
RSP_1312	Q3IY91	fliF	
RSP_0069	Q3J1U0	fliC	
RSP_6111	Q3J154	ureC	
RSP_3269	Q3IX57	gapB	
RSP_0186	Q3J1H7		
RSP_1081	Q3IYW9	fdsC	
RSP_0797	Q3IZQ8	gltX1	
RSP_1383	Q3IY21		
RSP_2823	Q3J2J5	cobL	
RSP_1817	Q3J5H0		
RSP_3030	Q3IXT9		
RSP_3073	Q3IXP5		
RSP_1339	Q3IY64		
RSP_0616	Q3J094		
RSP_3325	Q3IX06		
RSP_1779	Q3J5K7	ispE	
RSP_4354			
RSP_3515	Q3IWG6		
RSP_6048	Q3J3U5		
RSP_0640	Q3J070		
RSP_2289	Q3J439		
RSP_6069	Q3J2S2		
RSP_4031	Q3IVK0		
RSP_2576	P72324	adhI	
RSP_2052	Q3J4T2		
RSP_3430	Q3IWQ0		
RSP_0577	Q3J0D3		
RSP_3280	Q3IX47		
RSP_0206	Q3J1F7		
RSP_1079	Q3IYX1	fdsB	
